Segment, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
21,0.0,0.09797979797979799,0.00909090909090909,0.00202020202020202,0.14545454545454545,0.0,0.3565656565656566,0.03333333333333333,0.043434343434343436,0.08585858585858586,0.12626262626262627,0.10606060606060606,0.03838383838383838,0.0,0.1393939393939394,0.1191919191919192,0.11515151515151516,0.0,0.09797979797979799,0.09494949494949495,0.0101010101010101,0.1101010101010101,0.0,0.0,0.0,0.09696969696969697,0.0,0.0,0.29797979797979796,0.08181818181818182,0.0,0.0,0.1919191919191919,0.0,0.00101010101010101,0.2,0.1484848484848485,0.0,0.08686868686868687,0.0,0.1393939393939394,0.0,0.09494949494949495,0.03636363636363636,0.00202020202020202,0.0
22,0.028282828282828285,0.0,0.0,0.0,0.0,0.014141414141414142,0.18686868686868688,0.34444444444444444,0.0,0.2515151515151515,0.022222222222222223,0.0030303030303030303,0.0,0.15454545454545454,0.01818181818181818,0.1404040404040404,0.021212121212121213,0.1414141414141414,0.0595959595959596,0.19797979797979798,0.00101010101010101,0.012121212121212121,0.0,0.02727272727272727,0.0,0.0,0.03737373737373737,0.05858585858585859,0.17575757575757575,0.03333333333333333,0.012121212121212121,0.028282828282828285,0.05454545454545454,0.0,0.0,0.00101010101010101,0.0101010101010101,0.0,0.26262626262626265,0.06464646464646465,0.09191919191919191,0.0,0.0,0.0,0.11616161616161616,0.03232323232323232
23,0.01616161616161616,0.3373737373737374,0.021212121212121213,0.0,0.08888888888888889,0.00808080808080808,0.07575757575757576,0.045454545454545456,0.01818181818181818,0.11212121212121212,0.015151515151515152,0.00202020202020202,0.0,0.0030303030303030303,0.00808080808080808,0.2080808080808081,0.0,0.00202020202020202,0.026262626262626262,0.046464646464646465,0.0,0.23030303030303031,0.00404040404040404,0.050505050505050504,0.0,0.0,0.10202020202020202,0.029292929292929294,0.0,0.0,0.014141414141414142,0.006060606060606061,0.0,0.0,0.10202020202020202,0.22828282828282828,0.050505050505050504,0.03939393939393939,0.043434343434343436,0.01919191919191919,0.05858585858585859,0.052525252525252523,0.0595959595959596,0.0,0.0,0.13535353535353536
24,0.012121212121212121,0.25757575757575757,0.044444444444444446,0.0,0.1383838383838384,0.0,0.030303030303030304,0.22424242424242424,0.16767676767676767,0.20505050505050504,0.12424242424242424,0.022222222222222223,0.00505050505050505,0.20606060606060606,0.14444444444444443,0.047474747474747475,0.07373737373737374,0.03232323232323232,0.06666666666666667,0.046464646464646465,0.021212121212121213,0.046464646464646465,0.0,0.11717171717171718,0.0,0.0,0.0,0.20505050505050504,0.0,0.00404040404040404,0.0,0.0,0.0,0.01717171717171717,0.0,0.14444444444444443,0.0,0.0,0.11818181818181818,0.011111111111111112,0.08282828282828283,0.030303030303030304,0.0,0.0,0.0,0.0
25,0.0,0.0202020202020202,0.19292929292929292,0.04242424242424243,0.16262626262626262,0.06464646464646465,0.03535353535353535,0.3616161616161616,0.1606060606060606,0.06666666666666667,0.09696969696969697,0.044444444444444446,0.0,0.0,0.00101010101010101,0.0,0.0,0.0,0.01919191919191919,0.006060606060606061,0.03737373737373737,0.14343434343434344,0.09494949494949495,0.031313131313131314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.09797979797979799,0.1111111111111111,0.26161616161616164,0.0,0.0,0.03636363636363636,0.09797979797979799,0.01818181818181818,0.0,0.09494949494949495,0.0,0.0,0.02727272727272727
26,0.3292929292929293,0.0898989898989899,0.048484848484848485,0.22828282828282828,0.0030303030303030303,0.30303030303030304,0.08888888888888889,0.10101010101010101,0.07474747474747474,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.03232323232323232,0.0,0.0,0.048484848484848485,0.16363636363636364,0.0,0.06666666666666667,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.051515151515151514,0.298989898989899,0.0,0.34949494949494947,0.0,0.0797979797979798,0.16666666666666666,0.0,0.16262626262626262,0.0,0.0,0.0,0.12727272727272726,0.10808080808080808
27,0.03838383838383838,0.1414141414141414,0.08282828282828283,0.0,0.0,0.0,0.00101010101010101,0.00101010101010101,0.0,0.00202020202020202,0.0,0.0,0.0,0.0,0.026262626262626262,0.0,0.0,0.0,0.00202020202020202,0.14646464646464646,0.08383838383838384,0.07575757575757576,0.0,0.025252525252525252,0.0,0.0,0.0,0.0,0.01919191919191919,0.0,0.0,0.0,0.0,0.00505050505050505,0.0,0.601010101010101,0.0030303030303030303,0.0,0.1414141414141414,0.301010101010101,0.0,0.0,0.0030303030303030303,0.0,0.006060606060606061,0.011111111111111112
28,0.0,0.0,0.03939393939393939,0.0,0.01717171717171717,0.0,0.029292929292929294,0.0101010101010101,0.0,0.0,0.1393939393939394,0.0,0.0,0.0,0.043434343434343436,0.0,0.0,0.0,0.01717171717171717,0.5494949494949495,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18888888888888888,0.0,0.0,0.5393939393939394,0.2909090909090909,0.0,0.0,0.0,0.21313131313131314,0.0,0.17676767676767677
29,0.0,0.0,0.302020202020202,0.0,0.08888888888888889,0.0101010101010101,0.05656565656565657,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.0,0.21414141414141413,0.0,0.08383838383838384,0.0,0.03232323232323232,0.05353535353535353,0.00404040404040404,0.01717171717171717,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.11414141414141414,0.0,0.0,0.5535353535353535,0.09191919191919191,0.0,0.014141414141414142,0.0,0.0,0.0,0.4101010101010101
30,0.0,0.0,0.0,0.0,0.00505050505050505,0.01818181818181818,0.06060606060606061,0.0,0.0,0.12424242424242424,0.0,0.06060606060606061,0.0,0.0,0.14646464646464646,0.22727272727272727,0.0707070707070707,0.006060606060606061,0.1191919191919192,0.06363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01919191919191919,0.0,0.0,0.12222222222222222,0.00202020202020202,0.03636363636363636,0.0,0.19494949494949496,0.0,0.13737373737373737,0.0,0.51010101010101,0.0,0.0,0.0,0.0,0.0,0.007070707070707071
